cluster_id,day,month,nyt_id,nyt_pdf_endpoint,perceived_author_gender,xml_id,year,yearDecimal,filename
3,20,3,4fc074d245c1498b0d2f0fbd,https://timesmachine.nytimes.com/timesmachine/1921/03/20/112676944.pdf,m,112676944,1921,1921.213698630137,4fc074d245c1498b0d2f0fbd-3.csv
4,20,3,4fc074d245c1498b0d2f0fbd,https://timesmachine.nytimes.com/timesmachine/1921/03/20/112676944.pdf,dual,112676944,1921,1921.213698630137,4fc074d245c1498b0d2f0fbd-4.csv
5,20,3,4fc074d245c1498b0d2f0fbd,https://timesmachine.nytimes.com/timesmachine/1921/03/20/112676944.pdf,none,112676944,1921,1921.213698630137,4fc074d245c1498b0d2f0fbd-5.csv
6,20,3,4fc074d245c1498b0d2f0fbd,https://timesmachine.nytimes.com/timesmachine/1921/03/20/112676944.pdf,none,112676944,1921,1921.213698630137,4fc074d245c1498b0d2f0fbd-6.csv
1,24,10,4fc04fa845c1498b0d241a31,https://timesmachine.nytimes.com/timesmachine/1908/10/24/105013762.pdf,none,105013762,1908,1908.811475409836,4fc04fa845c1498b0d241a31-1.csv
2,24,10,4fc04fa845c1498b0d241a31,https://timesmachine.nytimes.com/timesmachine/1908/10/24/105013762.pdf,f,105013762,1908,1908.811475409836,4fc04fa845c1498b0d241a31-2.csv
3,24,10,4fc04fa845c1498b0d241a31,https://timesmachine.nytimes.com/timesmachine/1908/10/24/105013762.pdf,f,105013762,1908,1908.811475409836,4fc04fa845c1498b0d241a31-3.csv
1,26,10,4fc04a8845c1498b0d22b7c6,https://timesmachine.nytimes.com/timesmachine/1907/10/26/104998635.pdf,f,104998635,1907,1907.8164383561643,4fc04a8845c1498b0d22b7c6-1.csv
2,26,10,4fc04a8845c1498b0d22b7c6,https://timesmachine.nytimes.com/timesmachine/1907/10/26/104998635.pdf,none,104998635,1907,1907.8164383561643,4fc04a8845c1498b0d22b7c6-2.csv
1,9,11,4fc05c7145c1498b0d27a983,https://timesmachine.nytimes.com/timesmachine/1913/11/09/100659300.pdf,m,100659300,1913,1913.854794520548,4fc05c7145c1498b0d27a983-1.csv
2,9,11,4fc05c7145c1498b0d27a983,https://timesmachine.nytimes.com/timesmachine/1913/11/09/100659300.pdf,m,100659300,1913,1913.854794520548,4fc05c7145c1498b0d27a983-2.csv
1,11,6,4fc065cc45c1498b0d2a5adc,https://timesmachine.nytimes.com/timesmachine/1916/06/11/101573723.pdf,m,101573723,1916,1916.4426229508197,4fc065cc45c1498b0d2a5adc-1.csv
2,11,6,4fc065cc45c1498b0d2a5adc,https://timesmachine.nytimes.com/timesmachine/1916/06/11/101573723.pdf,m,101573723,1916,1916.4426229508197,4fc065cc45c1498b0d2a5adc-2.csv
3,11,6,4fc065cc45c1498b0d2a5adc,https://timesmachine.nytimes.com/timesmachine/1916/06/11/101573723.pdf,m,101573723,1916,1916.4426229508197,4fc065cc45c1498b0d2a5adc-3.csv
4,11,6,4fc065cc45c1498b0d2a5adc,https://timesmachine.nytimes.com/timesmachine/1916/06/11/101573723.pdf,m,101573723,1916,1916.4426229508197,4fc065cc45c1498b0d2a5adc-4.csv
1,20,4,4fc07ce745c1498b0d316c5c,https://timesmachine.nytimes.com/timesmachine/1913/04/20/100077904.pdf,f,100077904,1913,1913.2986301369865,4fc07ce745c1498b0d316c5c-1.csv
2,20,4,4fc07ce745c1498b0d316c5c,https://timesmachine.nytimes.com/timesmachine/1913/04/20/100077904.pdf,m,100077904,1913,1913.2986301369865,4fc07ce745c1498b0d316c5c-2.csv
1,12,2,4fc0683e45c1498b0d2b0e44,https://timesmachine.nytimes.com/timesmachine/1910/02/12/104920919.pdf,f,104920919,1910,1910.1150684931504,4fc0683e45c1498b0d2b0e44-1.csv
2,12,2,4fc0683e45c1498b0d2b0e44,https://timesmachine.nytimes.com/timesmachine/1910/02/12/104920919.pdf,m,104920919,1910,1910.1150684931504,4fc0683e45c1498b0d2b0e44-2.csv
3,12,2,4fc0683e45c1498b0d2b0e44,https://timesmachine.nytimes.com/timesmachine/1910/02/12/104920919.pdf,f,104920919,1910,1910.1150684931504,4fc0683e45c1498b0d2b0e44-3.csv
1,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-1.csv
2,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-2.csv
3,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,f,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-3.csv
4,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-4.csv
5,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-5.csv
6,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,none,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-6.csv
7,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-7.csv
8,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-8.csv
9,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-9.csv
10,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-10.csv
11,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-11.csv
12,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-12.csv
13,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-13.csv
14,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,f,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-14.csv
15,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-15.csv
16,12,4,4fc06bc945c1498b0d2c16d9,https://timesmachine.nytimes.com/timesmachine/1914/04/12/105455561.pdf,m,105455561,1914,1914.2767123287672,4fc06bc945c1498b0d2c16d9-16.csv
1,31,8,4fc056ed45c1498b0d261e47,https://timesmachine.nytimes.com/timesmachine/1907/08/31/106762118.pdf,f,106762118,1907,1907.66301369863,4fc056ed45c1498b0d261e47-1.csv
1,31,5,4fc088cb45c1498b0d34bd85,https://timesmachine.nytimes.com/timesmachine/1925/05/31/101667227.pdf,m,101667227,1925,1925.4109589041095,4fc088cb45c1498b0d34bd85-1.csv
2,31,5,4fc088cb45c1498b0d34bd85,https://timesmachine.nytimes.com/timesmachine/1925/05/31/101667227.pdf,f,101667227,1925,1925.4109589041095,4fc088cb45c1498b0d34bd85-2.csv
1,12,8,4fc0707045c1498b0d2d9f2f,https://timesmachine.nytimes.com/timesmachine/1917/08/12/102359479.pdf,m,102359479,1917,1917.6109589041096,4fc0707045c1498b0d2d9f2f-1.csv
2,12,8,4fc0707045c1498b0d2d9f2f,https://timesmachine.nytimes.com/timesmachine/1917/08/12/102359479.pdf,m,102359479,1917,1917.6109589041096,4fc0707045c1498b0d2d9f2f-2.csv
3,12,8,4fc0707045c1498b0d2d9f2f,https://timesmachine.nytimes.com/timesmachine/1917/08/12/102359479.pdf,m,102359479,1917,1917.6109589041096,4fc0707045c1498b0d2d9f2f-3.csv
1,6,10,4fc0425445c1498b0d20701e,https://timesmachine.nytimes.com/timesmachine/1906/10/06/101800834.pdf,m,101800834,1906,1906.7616438356165,4fc0425445c1498b0d20701e-1.csv
2,6,10,4fc0425445c1498b0d20701e,https://timesmachine.nytimes.com/timesmachine/1906/10/06/101800834.pdf,none,101800834,1906,1906.7616438356165,4fc0425445c1498b0d20701e-2.csv
